Street,Postal Code,City,Latitude,Longitude,URL
Moser-Säge 7,83674,Gaißach,47.7428242,11.5689203,https://filialen.aldi-sued.de/bayern/gaissach/moser-saege-7
Am Binderfeld 6,84518,Garching,48.126856170900226,12.57342137022897,https://filialen.aldi-sued.de/bayern/garching/am-binderfeld-6
Schleißheimer Straße 108a,85748,Garching,48.250998015430966,11.614382629506052,https://filialen.aldi-sued.de/bayern/garching/schleissheimer-strasse-108a
Von-Brug-Straße 7,82467,Garmisch-Partenkirchen,47.495757,11.094501,https://filialen.aldi-sued.de/bayern/garmisch-partenkirchen/von-brug-strasse-7
Landshuter Straße 90,94333,Geiselhöring,48.8194646,12.3754252,https://filialen.aldi-sued.de/bayern/geiselhoering/landshuter-strasse-90
Nöttinger Straße 23,85290,Geisenfeld,48.6923808,11.6113313,https://filialen.aldi-sued.de/bayern/geisenfeld/noettinger-strasse-23
Mühlweg 3,82269,Geltendorf,48.1220809,10.9985636,https://filialen.aldi-sued.de/bayern/geltendorf/muehlweg-3
Wernfelder Straße 28,97737,Gemünden am Main,50.0446713,9.7100023,https://filialen.aldi-sued.de/bayern/gemuenden-am-main/wernfelder-strasse-28
Pleinfelder Straße 66e,91166,Georgensgmünd,49.1763648,11.0113763,https://filialen.aldi-sued.de/bayern/georgensgmuend/pleinfelder-strasse-66e
Oberer Kirschberg 8,97218,Gerbrunn,49.78744015233103,9.990354296377063,https://filialen.aldi-sued.de/bayern/gerbrunn/oberer-kirschberg-8
Egerlandstraße 60,82538,Geretsried,47.87533947235366,11.467421815447914,https://filialen.aldi-sued.de/bayern/geretsried/egerlandstrasse-60
Sudetenstraße 68,82538,Geretsried,47.85286938778994,11.494483617177783,https://filialen.aldi-sued.de/bayern/geretsried/sudetenstrasse-68
Industriestraße 24,82110,Germering,48.131871937504094,11.380041289535823,https://filialen.aldi-sued.de/bayern/germering/industriestrasse-24
Münchener Straße 1,82110,Germering,48.1375724,11.3743612,https://filialen.aldi-sued.de/bayern/germering/muenchener-strasse-1
Hauptstraße 3,97447,Gerolzhofen,49.90932424028004,10.355734325006551,https://filialen.aldi-sued.de/bayern/gerolzhofen/hauptstrasse-3
Senefelder Straße 22,86368,Gersthofen,48.43529150042289,10.8655044822641,https://filialen.aldi-sued.de/bayern/gersthofen/senefelder-strasse-22
Langenwiesengraben 3,97232,Giebelstadt,49.6589527,9.947077,https://filialen.aldi-sued.de/bayern/giebelstadt/langenwiesengraben-3
Dornierstraße 2b,82205,Gilching,48.0943472,11.3134777,https://filialen.aldi-sued.de/bayern/gilching/dornierstrasse-2b
Balthasar-Neumann-Straße 36,91327,Gößweinstein,49.770677,11.3434683,https://filialen.aldi-sued.de/bayern/goessweinstein/balthasar-neumann-strasse-36
Erlengrund 3,63773,Goldbach,49.9973588,9.1908371,https://filialen.aldi-sued.de/bayern/goldbach/erlengrund-3
Frauenberg 27,94481,Grafenau,48.8557167,13.3811723,https://filialen.aldi-sued.de/bayern/grafenau/frauenberg-27
Pressather Straße 9,92655,Grafenwöhr,49.723567,11.9031198,https://filialen.aldi-sued.de/bayern/grafenwoehr/pressather-strasse-9
Glonner Straße 37,85567,Grafing,48.04090395387995,11.959035174719702,https://filialen.aldi-sued.de/bayern/grafing/glonner-strasse-37
An der Zugspitze 5,82491,Grainau,47.47924942358699,11.053975644257209,https://filialen.aldi-sued.de/bayern/grainau/an-der-zugspitze-5
Olchinger Straße 70,82194,Gröbenzell,48.1856256830095,11.386068447559753,https://filialen.aldi-sued.de/bayern/groebenzell/olchinger-strasse-70
Aschaffenburger Straße 37,63762,Großostheim,49.92756114646775,9.080254061755454,https://filialen.aldi-sued.de/bayern/grossostheim/aschaffenburger-strasse-37
Violastraße 8,89312,Günzburg,48.4511448,10.2586634,https://filialen.aldi-sued.de/bayern/guenzburg/violastrasse-8
Nürnberger Straße 58,91710,Gunzenhausen,49.1202447,10.7621897,https://filialen.aldi-sued.de/bayern/gunzenhausen/nuernberger-strasse-58
Hans-Stießberger-Straße 5,85540,Haar,48.10968043173673,11.718371072463016,https://filialen.aldi-sued.de/bayern/haar/hans-stiessberger-strasse-5
Biegenhofstraße 6,96103,Hallstadt,49.916625,10.867557,https://filialen.aldi-sued.de/bayern/hallstadt/biegenhofstrasse-6
Michelinstraße 142,96103,Hallstadt,49.9235481,10.8961247,https://filialen.aldi-sued.de/bayern/hallstadt/michelinstrasse-142
Am Sportzentrum 2,97762,Hammelburg,50.1102174,9.8956291,https://filialen.aldi-sued.de/bayern/hammelburg/am-sportzentrum-2
Am Sterzelbach 3,97437,Haßfurt,50.0313514,10.5328391,https://filialen.aldi-sued.de/bayern/hassfurt/am-sterzelbach-3
Steinbergstraße 4,94051,Hauzenberg,48.6526127,13.6161534,https://filialen.aldi-sued.de/bayern/hauzenberg/steinbergstrasse-4
