Street,Postal Code,City,Latitude,Longitude
Kandinskyallee 4-12,22115,Hamburg,53.5254879,10.1505994
Wedemarkstraße 100,30900,Wedemark,52.5475904,9.7479316
Webergasse 1,01067,Dresden,51.04958702,13.73597959
Hagener Straße 9,57072,Siegen,50.88250542,8.0281976
Nordallee 3,29525,Uelzen,52.98534441,10.54691067
Am Kaufpark 1,35279,Neustadt (Hessen),50.84674312,9.09687317
Stendaler Chaussee 35,39606,Osterburg,52.7750842,11.7553577
Feldstraße 5,22880,Wedel,53.57782194,9.70670932
Leipziger Straße 34,04420,Markranstädt,51.30531184,12.22574461
Am Mühlencenter 10,49685,Emstek,52.83389,8.16335
Dötlinger Straße 10-12,28197,Bremen,53.0801133,8.7709797
Malberger Straße 1,49124,Georgsmarienhütte,52.21007728,8.03677429
Hermsdorfer Straße 4,99099,Erfurt,50.97098466,11.06115634
Markstraße 139,44803,Bochum,51.45379652,7.24786773
An der Tonkuhle 2,33617,Bielefeld,52.00811266,8.51975401
Dreekamp 10,26605,Aurich,53.46986051,7.45752883
Lierfeldstraße 5,45326,Essen,51.48457049,7.01002824
Willy-Brandt-Ring 2,08606,Oelsnitz,50.4249796,12.1713756
Quetziner Straße 19b,19395,Plau am See,53.46279941,12.26513124
Briloner Straße 3,33647,Bielefeld,51.9814221,8.5166087
Ostring 40-44,34277,Fuldabrück,51.27259166,9.49996316
Ackerstraße 2,39112,Magdeburg,52.11530889,11.61908474
Rostocker Landweg 1b,18311,Ribnitz-Damgarten,54.23747843,12.43404405
Goethestraße 2,15859,Storkow (Mark),52.25069637,13.9278487
Röhre 32,59846,Sundern,51.31505678,8.00991629
Gewerbegebiet Fulgengrund 4,18225,Kühlungsborn,54.145362,11.7690971
Beckhausstraße 64,33611,Bielefeld,52.0383987,8.5441541
Geschwister-Scholl - Straße 26,59348,Lüdinghausen,51.77286428,7.45102579
Lerchenstraße 27,49152,Bad Essen,52.3215256,8.3484319
Kasseler Straße 3,34576,Homberg (Efze),51.0332852,9.4001866
Thüringer Straße 9,26723,Emden,53.3613629,7.1683246
Ostbredenstraße 77,59229,Ahlen,51.7599076,7.908643
Hemmstraße 353-357,28215,Bremen,53.10107308,8.81528607
Elbestraße 22,38120,Braunschweig,52.2486381,10.479269
Paul-Dessau-Straße 6,22761,Hamburg,53.5628602,9.9156794
Siegburgstraße 20,44359,Dortmund,51.570142,7.38338988
Wasbeker Straße 330,24537,Neumünster,54.0716019,9.94067113
Lindenstraße 31,49565,Bramsche,52.4140287,7.975695
Alexander-Fleming-Straße 1,23562,Lübeck,53.83207878,10.69012412
Zechenstraße 47,45772,Marl,51.66526994,7.0822764
Piepmühle 5,31542,Bad Nenndorf,52.33548952,9.40334368
Stolberger Straße 134,99734,Nordhausen,51.5149088,10.8038745
Kaiser-Otto-Weg 7,59494,Soest,51.55671272,8.10772413
Breiteweg 51,39179,Barleben,52.2023037,11.6194612
Steinbecker Meile 6,42117,Wuppertal,51.2492761,7.1344517
Rummelsburger Straße 16,12459,Berlin,52.46865315,13.51288087
Vahrer Straße 279-281,28329,Bremen,53.0765846,8.8831512
Altenaer Straße 29,58762,Altena,51.2975982,7.74784
Bürgermeister-Heidenreich-Straße 1a,26316,Varel,53.3946812,8.1303145
Späthstraße 14-15,12359,Berlin,52.452277,13.4557288
Pontestraße 10,02826,Görlitz,51.158199,14.983635
Friedrich-Engels-Straße 79,15745,Wildau,52.32484377,13.63663272
Coldinner Straße 11,26532,Großheide,53.59244917,7.34658801
Rogätzer Straße 33,39326,Wolmirstedt,52.26225708,11.64026085
Annenheider Straße 181,27755,Delmenhorst,53.0267332,8.6524898
Gablonzer Straße 5,24610,Trappenkamp,54.04282478,10.21440906
Pfarrer-Becker-Straße 7,46354,Südlohn,51.9334528,6.8077949
Emsteker Straße 30,49661,Cloppenburg,52.84318342,8.05073509
Brauner Berg 9,24159,Kiel,54.3963354,10.1758418
Berolinastraße 7,10178,Berlin,52.5216242,13.4239147
Marktplatz 3,59399,Olfen,51.70768024,7.37810868
Schleswiger Chaussee 45,24768,Rendsburg,54.31231743,9.64442365
2. Kompanieweg 8,26632,Ihlow,53.40734355,7.44029524
Eichstraße 18-20,31241,Ilsede,52.26454056,10.21621281
Bahnhofsstraße 28,58553,Halver,51.1837219,7.5034763
Lindengraben 14,44803,Bochum,51.4727914,7.24420408
Schreyerring 6,22309,Hamburg,53.61146241,10.05879157
Straßburger Platz 1,01307,Dresden,51.04671,13.7560717
Haynauer Straße 76-80,12249,Berlin,52.43462,13.36734
Pagenstecherstraße 144,49090,Osnabrück,52.2953305,8.01623
Carl-Backhaus-Straße 44,22926,Ahrensburg,53.67968137,10.26133172
Bremer Straße 51,21224,Rosengarten,53.3793496,9.89736356
Sundgauer Straße 83-85,14169,Berlin,52.4391544,13.271336
Kirschallee 11,39590,Tangermünde,52.54732407,11.96599947
Augustusburger Straße 75,09557,Flöha,50.84982381,13.07671812
Marktplatz Ickern 2,44581,Castrop-Rauxel,51.59185396,7.33854789
Tillystraße 30,30459,Hannover,52.3380508,9.7183251
Hermesstraße 7,06114,Halle,51.49840738,11.98437321
Am Wallgraben 14,33154,Salzkotten,51.6735582,8.6051028
Hildesheimer Straße 350,30880,Laatzen,52.2854713,9.8209723
Bahrenfelder Straße 188,22765,Hamburg,53.55496727,9.92878452
Dr.-Salvador-Allende-Straße 1,09119,Chemnitz,50.80930913,12.89151792
Schützenstraße 65,59505,Bad Sassendorf,51.5793687,8.1603115
Meiendorfer Straße 98,22145,Hamburg,53.6230556,10.1672222
Gummersbacher Straße 137a,51709,Marienheide,51.0541702,7.5449572
Wismarsche Straße 2,18246,Bützow,53.84534952,11.97270151
Coburger Straße 26,98646,Hildburghausen,50.42111757,10.72975879
Niederwerberstraße 6,34513,Waldeck,51.24105664,9.01017863
Lange Straße 12-14,27305,Bruchhausen-Vilsen,52.82938686,8.99052212
Potsdamer Chaussee 33,14129,Berlin,52.4281248,13.2148636
Eiderkamp 1,24220,Flintbek,54.2400916,10.0615051
Goorstorfer Straße 50,18146,Rostock,54.12336198,12.16799126
Hohe Steinert 5,58509,Lüdenscheid,51.227389,7.6070202
Sierksdorfer Straße 19,23730,Neustadt in Holstein,54.09655706,10.79236115
Keitumer Landstraße 21,25980,Sylt,54.904654,8.32149
Hennigsdorfer Straße 167,13503,Berlin,52.6271768,13.2254497
Dresdener Straße 68,02625,Bautzen,51.18023661,14.40362368
Am Schafberge 2,07570,Weida,50.7801156,12.0401422
J.-Gagarin-Ring 8,19370,Parchim,53.42040315,11.82081171
Arminstraße 27,32756,Detmold,51.94315202,8.87217679
Rudower Straße 116,12351,Berlin,52.43504031,13.46613712
